Priority,Type,Topic,SubTopic,Index,Question,Answer,Number,Personal
3,Discrete Facts,TV,-,1,the only two non-US TV shows to win the Best Comedy Emmy,Schitt's Creek (CAN 🇨🇦) and Fleabag (UK 🇬🇧),Plural,No
3,Discrete Facts,TV,-,2,the only two animated TV shows nominated for Best Comedy Emmy,The Flintstones and Family Guy,Plural,No
3,Discrete Facts,TV,-,3,the only FX show to win Best Comedy Emmy,The Bear,Singular,No
3,Discrete Facts,TV,-,4,the only HBO MAX streaming show to win Best Comedy Emmy,Hacks,Singular,No
3,Discrete Facts,TV,-,5,the only Amazon Prime Video show to win Best Comedy Emmy,The Marvelous Mrs. Maisel,Singular,No
3,Discrete Facts,TV,-,6,the only Apple TV+ show to win Best Comedy Emmy,Ted Lasso,Singular,No
3,Discrete Facts,TV,-,7,the only 2 Fox shows to win Best Comedy Emmy,Arrested Development and Ally McBeal,Plural,No
3,Discrete Facts,TV,-,8,the only 2 HBO (not MAX) shows to win Best Comedy Emmy,Sex and the City; Veep,Plural,No
3,Discrete Facts,TV,-,9,the first winner of the Best Comedy Emmy,The Red Skelton Show,Singular,No
3,Discrete Facts,TV,-,10,the 2 shows that have won Best Comedy Emmy the most,Frasier and Modern Family (5 apiece),Plural,No
3,Discrete Facts,TV,-,11,the 3 shows that have been NOMinated for Best Comedy Emmy the most,"Cheers, Curb Your Enthusiasm, M\*A\*S\*H (11 apiece)",Plural,No
3,Discrete Facts,TV,-,12,the show with the most Best Comedy Emmy NOM's (not most total Emmy NOM's) without any wins,Curb Your Enthusiasm,Singular,No
3,Discrete Facts,TV,-,13,the show that won Best Comedy Emmy in 2024,Hacks (on MAX),Singular,No
3,Discrete Facts,TV,-,14,the show that won Best Comedy Emmy in 2023,The Bear (FX),Singular,No
3,Discrete Facts,TV,-,15,the show that won Best Comedy Emmy in 2021 & 2022,Ted Lasso (🍎 TV+),Singular,No
3,Discrete Facts,TV,-,16,the show that won Best Comedy Emmy in 2020,Schitt's Creek (POP TV in CAN 🇨🇦),Singular,No
3,Discrete Facts,TV,-,17,the show that won Best Comedy Emmy in 2019,Fleabag (BBC 🇬🇧),Singular,No
3,Discrete Facts,TV,-,18,the show that won Best Comedy Emmy in 2018,The Marvelous Mrs. Maisel,Singular,No
3,Discrete Facts,TV,-,19,the show that won Best Comedy Emmy from 2015 through 2017,Veep,Singular,No
3,Discrete Facts,TV,-,20,the 3 shows that have been nominated for Best Comedy Emmy that contained a & in their title--and the only one that ever won,Mork & Mindy; Kate & Allie; and the winner: Will & Grace,Plural,No
3,Discrete Facts,TV,-,21,the 2 shows that have won Best Comedy Emmy whose titles are 4 letters long with no other characters,Taxi; Veep (M\*A\*S\*H doesn't count),Plural,No
3,Discrete Facts,TV,-,22,the show that won Best Comedy Emmy from 2010 through 2014,Modern Family,Singular,No
3,Discrete Facts,TV,-,23,the show that won Best Comedy Emmy from 2007 through 2009,30 Rock,Singular,No
3,Discrete Facts,TV,-,24,the show that won Best Comedy Emmy in 2006,The Office,Singular,No
